Microchip,Weight,Headwidth,TrapID,year,month,dftd,breed,agecat
982009100813321,7.3,110,FNP121,2007,6,0,1,Adult
982009100813321,7,111,FNP117,2008,5,0,1,Adult
982009100816007,5.3,101.9,FNP033,2006,7,0,1,1year
982009100816116,6.3,108.6,FNP018,2007,1,0,0,1year
982009100818758,6.09,107.5,FNP121,2007,1,0,1,1year
982009100821376,4.8,108.1,NA,2005,4,0,1,Adult
982009100821376,5.9,104.8,FNP206,2003,7,0,1,Adult
982009100821923,4.8,95.19,FNP009,2005,12,0,0,1year
982009100822863,4.9,105,FNP173,2007,1,0,0,1year
982009100833397,5.4,99.3,FNP108,2006,7,0,0,1year
982009100860589,5.5,101,FNP007,2006,7,0,0,1year
982009100872770,5.4,104.6,FNP094,2006,7,0,0,1year
982009100872770,7,110,FNP094,2007,4,0,1,Adult
982009100873904,5.4,102.8,FNP034,2007,1,0,1,1year
982009100876802,7.3,106.5,FNP087,2006,7,0,1,1year
982009100876802,5,106,FNP085,2007,4,1,1,Adult
982009100884840,6.9,106.5,FNP085,2006,7,0,1,1year
982009100890202,4.9,102.1,FNP084,2006,7,0,0,1year
982009100932973,6.3,106,FNP090,2007,1,0,1,1year
982009100958183,6,107,FNP118,2007,4,0,1,Adult
982009100958183,6.9,103.5,FNP117,2006,7,0,1,1year
982009100977609,5.69,100.3,FNP038,2006,7,0,1,1year
982009100982932,6.69,104.3,FNP091,2006,4,0,1,Adult
982009100982932,6.09,104,FNP092,2006,1,0,1,1year
982009102230050,3.8,85.7,NA,2005,8,0,0,1year
982009102293491,5,102.5,FNP011,2007,1,0,0,1year
982009102293491,5.09,100.8,FNP014,2006,7,0,1,1year
982009102429794,6.4,107.3,FNP028,2006,4,0,1,Adult
982009102429794,7.3,101.5,FNP173,2005,7,0,1,1year
982009102434757,6.8,105.6,FNP006,2005,12,0,0,1year
982009102465561,5.4,100.4,FNP015,2006,7,0,0,1year
982009102520507,5.59,104.5,FNP015,2005,12,0,1,Adult
982009102522153,5.5,95.8,FNP117,2005,7,0,0,1year
982009102526582,5.4,100.5,FNP105,2006,1,0,1,1year
982009102527347,7.4,97.1,115,2005,7,0,1,1year
982009102719691,6,105,FNP090,2006,1,0,1,1year
982009102719691,5.09,107,FNP093,2006,8,0,1,Adult
982009102725676,5.5,103,FNP162,2005,12,0,0,1year
982009102726143,6.8,101.1,NA,2005,4,0,1,Adult
982009102727125,5.7,99.5,51,2005,7,0,0,1year
982009102732057,6.4,93.4,FNP019,2005,7,0,0,1year
982009102732057,5.59,98.9,FNP037,2006,4,0,1,Adult
982009102737556,5.5,100.5,FNP015,2005,12,0,0,1year
982009102754897,4.4,101.4,FNP024,2006,4,0,1,Adult
982009102754897,5,92.4,FNP024,2005,7,0,0,1year
982009104234846,5,93,FNP117,2007,6,0,0,1year
982009104253157,5,98,FNP158,2007,6,0,0,1year
982009104273860,8.5,103.5,FNP086,2008,7,1,1,Adult
982009104273860,5,97,FNP087,2007,7,0,0,1year
982009104278039,7,105,FNP086,2008,4,0,1,Adult
982009104326007,4,93,FNP162,2007,7,0,0,1year
982009104330280,5,97,FNP117,2007,6,0,0,1year
982009104330280,6,103,FNP119,2008,4,1,1,Adult
982009104353469,5,99,FNP039,2008,4,0,0,Adult
982009104353469,4,89,FNP087,2007,6,0,0,1year
982009104355375,7,108,FNP034,2008,4,1,1,Adult
982009104355375,4,94,FNP158,2007,7,0,0,1year
982009104820975,7.8,108,FNP055,2013,10,1,1,Adult
982009104844351,7.9,109,FNP055,2013,10,0,1,Adult
982009104858722,6.5,102,FNP093,2011,8,0,0,1year
982009104858722,6.8,108,FNP091,2012,9,0,1,Adult
982009104858722,8.4,108,FNP101,2013,10,0,1,Adult
982009104862184,5.3,102.6,FNP084,2007,1,0,1,1year
982009104863360,5.8,102,FNP085,2011,8,0,0,1year
982009104867916,8,108,NA,2010,9,0,1,1year
982009104875191,7,98,FNP121,2010,9,0,1,1year
982009104938840,6,100,FNP091,2013,10,1,0,1year
982009105160547,6,99,FNP125,2007,6,0,0,1year
982009105164994,7.59,106,FNP093,2008,7,0,1,1year
982009105166817,4,88,FNP039,2007,7,0,0,1year
982009105172395,4.9,95.3,FNP173,2007,6,0,0,1year
982009105172395,7.8,104.8,FNP031,2008,6,0,1,Adult
982009105174487,5.59,94.69,FNP195,2008,7,0,0,1year
982009105175414,5,100,FNP125,2007,6,0,0,Adult
982009105185813,5,90.59,FNP096,2008,7,0,1,1year
982009105195861,5.59,95.8,FNP109,2008,7,0,0,1year
982009105830109,5.7,102,FNP033,2011,8,1,1,1year
